title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Doodh Sanjeevani Yojana,,"['Health & Wellness', 'Women and Child']","The scheme aims to provide fortified, flavored, double toned pasteurized milk to students, pregnant women and lactating women. The scheme is implemented by the Anganwadi Centers and also by the Child Development Project Officers.",,,dsy-g,"['Child', 'Woman', 'Pregnant', 'Mother', 'Student', 'Milk']",Search
Doodh Sanjivani Scheme,,"['Health & Wellness', 'Social welfare & Empowerment']",The scheme aims to enhance the nutritional health of children aged 6 months to 6 years and pregnant and lactating mothers by providing fortified flavored milk in Anganwadi centers across 20 districts in the state.,,,dssg,"['Nutritional Support', 'Tribal Welfare', 'Child Nutrition', 'Pregnant Mothers']",Search
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme “Dr. Ambedkar Medical Aid Scheme” has been revised and implemented by the Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana in 2009. Under this scheme, the state government provides medical treatment facilities to patients of the SC/ST communities.",,,amas-haryana,"['Medical Treatment', 'Scheduled Caste', 'Scheduled Tribe', 'Hospital', 'Surgery']",Search
Dulari Scheme,,"['Education & Learning', 'Health & Wellness', 'Women and Child']","The DULARI Scheme was implemented by the Directorate of Health Services in the Andaman and Nicobar Islands to provide incentives for newborn baby girls and to the girl children who pass Classes VIII, X, and XII.",,,ds-aandn,"['Girl Child', 'New Born', 'Woman', 'Scholarship', 'Financial Assistance']",Search
Durghatana Mein Chikitsa Sahaayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started this scheme ""Durghatana Mein Chikitsa Sahaayata Yojana"" for labor workers. ",,,dmcsy,"['Financial Assistance', 'Labor Workers', 'Accident']",Search
Chief Minister's Comprehensive Health Insurance Scheme,,['Health & Wellness'],Chief Minister Comprehensive Health Insurance Scheme  provides quality health care to the eligible person through empanelled government and private hospitals to reduce the financial hardship to the enrolled families and move towards universal health coverage by effectively linking with public,,,cmchis,"['Cashless Medical Treatment', 'Health Insurance', 'Economically-weaker Sections', 'Critical Illnesses', 'Public And Private Sector Hospitals']",Search
Chief Minister’s Health Insurance Scheme - Nagaland,,"['Banking,Financial Services and Insurance', 'Health & Wellness']","Launched on 16th October 2022, the scheme ""Chief Minister Health Insurance Scheme (CMHIS)"" is a Public Health Insurance Scheme by the Health and Family Welfare Department, Government of Nagaland. This scheme provides cashless treatment up to ₹20 lakhs for employees and pensioners and ₹5 lakhs.",,,cmhisn,"['Health Coverage', 'Health Insurance', 'Nagaland Government Health Insurance', 'Affordable Health Insurance', 'Cashless Health Insurance', 'Nagaland']",Search
Chief Minister’s Free Diagnostic Services,,['Health & Wellness'],"The Chief Minister’s free diagnostic services is envisaged to ensure the availability of a minimum set of diagnostic services at government-run health institutions. Under the program, CT scan, X-Ray, and laboratory services are provided free of cost to all irrespective of APL and BPL citizens.",,,cmfds,"['Quality Diagnosis', 'Free Services', 'Medical Facility', 'CT Scan', 'Laboratory Services']",Search
Chikitsa Sahayata Yojana,,['Health & Wellness'],"""Chikitsa Sahayata Yojana"" is a Medical Assistance scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides medical assistance to all registered workers who are admitted to the hospital for five or more working days.",,,csy,"['Health', 'Hospitalization', 'Construction Worker', 'Financial Assistance']",Search
Chikitsa Pratipoorti Yojana,,"['Health & Wellness', 'Social welfare & Empowerment']","""Chikitsa Pratipoorti Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance to the Registered Workers for the treatment of serious illnesses (cancer, heart disease, kidney disease, etc.",,,cpy,"['Health', 'Disease', 'Financial Assistance', 'Construction Worker']",Search
Children With Special Needs Under Goa Sarva Shiksha Abhivan,,"['Education & Learning', 'Health & Wellness']","The ""Children With Special Needs (CWSN)"" scheme aims to provide comprehensive educational support and resources tailored to the needs of children with disabilities. It is designed to ensure that every child, regardless of their disability type (intellectual, physical, etc.), receives the necessary a",,,cwsn,"['Goa', 'Disability', 'Medical', 'Children', 'Education']",Search
Compensation for Livestock Loss Caused by Wild Animals,,"['Agriculture,Rural & Environment', 'Health & Wellness']",The scheme aims to provide financial relief to livestock owners for losses due to wild animal attacks.,,,cfllcbwa,"['Financial Assistance', 'Wild Animal', 'Relief', 'Livestock']",Search
Dental Care Scheme- Haryana Labour Welfare Board,,['Health & Wellness'],"Under this Scheme, workers & their dependents are entitled to receive financial assistance of upto ₹4,000/- or the actual expenditure, whichever is less, for dental care. Furthermore, assistance of upto ₹10,000/- or the actual expenditure, whichever is less, is provided for fixation of full denture.",,,dcs-hlwb,"['Dental Care', 'Labour', 'Teeth', 'Denture', 'Organized Worker', 'Financial Assistance', 'Jaw Implants']",Search
Dhanvantari Arogya Rath Yojana (GBOCWWB),,['Health & Wellness'],"The scheme has been implemented to ensure that construction workers and their families get primary medical treatment at their doorsteps, prevent serious diseases and maintain their health at places including construction sites, labour colonies and Kadianaka.",,,darygbocwwb,"['Building Worker', 'Construction Worker', 'Labour', 'Common Diseases', 'Free Medicines', 'Primary Medical Treatment']",Search
Disability Pension (HPBOCWWB),,['Health & Wellness'],"The scheme ""Disability Pension,"" introduced by the Himachal Pradesh Building and Other Construction Workers Welfare Board (HPBOCWWB), Government of Himachal Pradesh, provides a monthly pension of ₹500/- to registered beneficiaries in case of disability caused by accidents or diseases.",,,dphpbocwwb,"['Construction', 'Building', 'Labour', 'Disability', 'Pension', 'Worker']",Search
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Disability Pension and Ex-Gratia'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides a monthly pension to beneficiaries partially disabled due to worksite accidents or diseases, with an additional ex-gratia payment based on disability percentage.

",,,dpaexgkbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Pension', 'Disability', 'Ex-Gratia']",Search
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Disability Pension and Ex-Gratia'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides a monthly pension to beneficiaries partially disabled due to worksite accidents or diseases, with an additional ex-gratia payment based on disability percentage.

",,,dpaexgkbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Pension', 'Disability', 'Ex-Gratia']",Search
Distress Relief Fund For The Differently Abled (Medical Treatment),,"['Social welfare & Empowerment', 'Health & Wellness']","The scheme “Distress Relief Fund for the Differently Abled (Medical Treatment)” was launched by the Department of Social Justice, Government of Kerala. ",,,drfdamt,"['Distress', 'Differently Abled', 'Medical Treatment', 'Handicap', 'PwD', 'Financial Assistance', 'BPL']",Search
Janani Suraksha Yojana (JSY),Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to reduce maternal and neonatal mortality by promoting institutional deliveries among poor pregnant women. It offers cash assistance for institutional and home deliveries, along with antenatal and postnatal care support, primarily benefiting poor pregnant women across India.",,,jsy1,"['Pregnancy', 'Woman', 'Female', 'Delivery', 'Child', 'Health']",Search
Integrated Toll Free 104 Helpline,,['Health & Wellness'],The scheme aims to provide the general public with round-the-clock (24×7×365) access to reliable health information and medical advice through the toll-free number 104.,,,itfh,"['Health Advice', '104', 'Helpline', 'Health']",Search
Janani Bal Suraksha Yojana,,['Health & Wellness'],"This health initiative aimed at improving maternal and infant health by increasing institutional deliveries, reducing infant and maternal mortality rates, and promoting immunization in Bihar.

",,,jbsyb,"['Maternal Health', 'Pregnancy', 'Women And Child', 'Immunization']",Search
Janani Sahayogi Yojana,,"['Women and Child', 'Health & Wellness']",The scheme aims to provide free and safe delivery and newborn care services to BPL families by offering free treatment to pregnant women in government and accredited private hospitals.,,,jsymp,"['BPL', 'Women', 'Newborn', 'Healthcare', 'Pregnant', 'Medical']",Search
Janani Shishu Suraksha Karyakram Madhya Pradesh,,"['Women and Child', 'Health & Wellness']","The scheme aims to provide free healthcare services to pregnant women and infants up to one year of age, including free treatment, medicines, diet, and transport facilities in government hospitals.",,,jsskmp,"['Pregnancy', 'Women', 'Free Healthcare', 'Medicines', 'Diagnostics', 'Newborn', 'Diet']",Search
Janani Shishu Suraksha Karyakram,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to provide completely free and cashless delivery, including caesarean section, for pregnant women at government health facilities along with free treatment for sick newborns and infants.
",,,jssk,"['Pregnant', 'Newborn Child', 'Medicine', 'Free Diet', 'Women', 'Diagnostics', 'Free Transport For Hospitalisation']",Search
Healthy Lifestyle for School Children through Ayurvidya-AYUSH,,['Health & Wellness'],"The scheme aims to promote and develop a healthy lifestyle among school children through the principles and practices of AYUSH. Under this initiative, free AYUSH-based health services and medicines are provided to children registered in government schools.",,,ahlfscty,"['Children Health', 'Healthy Lifestyle', 'Ayurvidya', 'AYUSH', 'Student']",Search
Health Minister’s Discretionary Grant,Ministry Of Health & Family Welfare,['Health & Wellness'],"A health scheme by Ministry of Health & Family Welfare for financially poor patients to defray a part of the expenditure on Hospitalization/treatment in Government Hospitals,for life threatening diseases covered under Rashtriya Arogya Nidhi (RAN), in cases where free medical facilities aren't there.",,,hmdg,"['Health', 'Disease', 'Hospital', 'Medical Facility', 'Patient']",Search
Hemoglobinopathy - Uttarakhand,,['Health & Wellness'],"The scheme aims to provide comprehensive care, support, and treatment to patients suffering from Thalassemia and Hemophilia in Uttarakhand.",,,huk,"['Health', 'Hemoglobinopathy', 'Patients', 'Free Blood Filter', 'Blood', 'Thalassemia']",Search
Hita-dhikaari Ke Samanye Athava Durghatana Me Mrityu Ya Ghayal Hone Ki Dasha Me Sahayata Yojana,,"['Health & Wellness', 'Social welfare & Empowerment']","By the labor department of Rajasthan started ""Hita-Dhikaari Ke Samanye Athava Durghatana Me Mrityu Ya Ghayal Hone Ki Dasha Me Sahayata Yojana"" for the construction workers.
",,,hksadmmyghkdms,"['Financial Assistance', 'Constrution Worker', 'Health & Wellness', 'Workers']",Search
Home for Mentally Challenged Children,,"['Social welfare & Empowerment', 'Housing & Shelter', 'Health & Wellness', 'Women and Child']","The scheme ""Home for Mentally Challenged Children"" by the Department of Social Welfare, Government of Puducherry, aims to provide care for children facing mental challenges, i.e. low Intelligence Quotient (IQ). The scheme offers free boarding and lodging, uniform sets, daily living needs, etc.",,,hmcc,"['Food', 'Shelter', 'Child', 'Medical Assistance']",Search
Home for Visually Challenged Person,,"['Social welfare & Empowerment', 'Skills & Employment', 'Health & Wellness']","The scheme “Home for Visually challenged Person"" was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to take care of the male persons who are visually impaired and who lack care and protection in society and are deprived of basic needs.",,,hvcp,"['Shelter', 'Free Food', 'Visually Challenged Person', 'Free Clothes']",Search
Hospitalisation Relief Scheme,,"['Social welfare & Empowerment', 'Health & Wellness']","This scheme was launched by the Telangana Building & Other Construction Workers Welfare Board, LET&F (Labour) Department Telangana financial assistance is provided to construction workers who suffer temporary disabilities due to accidents or diseases & hospitalized for five or more days.",,,hrs,"['Financial Assistance', 'Accident', 'Disability', 'Disease', 'Construction Worker']",Search
Immunization Programme - Uttarakhand,,['Health & Wellness'],"This initiative aims to protect every child from preventable, life-threatening diseases by providing free and timely vaccination as per the National Immunization Schedule.",,,ipuk,"['Child', 'Free Vaccination', 'Childcare', 'Health', 'Immunization']",Search
Incentive Scheme for Establishment of New Super Specialty Hospital in Private Sector,,"['Transport & Infrastructure', 'Health & Wellness']","The scheme offers financial incentives (capital subsidy, interest subvention, and electricity duty reimbursement) to private/NGO entities establishing new super specialty hospitals (50+ beds) in Gujarat, targeting underserved areas.",,,isensshps,"['Hospital', 'Health', 'Incentive', 'Medical', 'Subsidy']",Search
Indian Community Welfare Fund,Ministry Of External Affairs,"['Health & Wellness', 'Housing & Shelter', 'Social welfare & Empowerment']","A scheme by Ministry of External Affairs (MEA) for the welfare of Overseas Indians; assisting them in distress situations. ICWF has also been a critical support in emergency evacuation of Indian nationals from conflict zones, countries affected by natural disasters and other challenging situations.",,,icwf,"['Non Resident Indian', 'Overseas Indian', 'Welfare', 'Student', 'Legal Assistance', 'Medical Assistance', 'Disability', 'PwD', 'Artist', 'Shelter']",Search
Indira Gandhi National Disability Pension Scheme (Jammu and Kashmir),,"['Social welfare & Empowerment', 'Health & Wellness']","Launched on 15th August 1995, the ""Indira Gandhi National Disability Pension Scheme""is a pension scheme by the Department Of Social Welfare  Jammu and Kashmir. In this scheme, a pension of ₹1000/- is provided to differently-abled individuals from 'Below Poverty Line'.",,,igndpsjak,"['Below Poverty Line', 'Disability', 'Pension', 'Social Welfare']",Search
Integrated Child Development Services: Chandigarh,,['Health & Wellness'],"The Integrated Child Development Service (ICDS) Scheme providing for supplementary nutrition, immunization and pre-school education to the children is a popular flagship programme of the government. Launched in 1975, it is one of the world’s largest programmes providing for an integrated package of ",,,icds-chandigarh,"['Child Development Scheme', 'Child Development', 'ICDS', 'Immunization Of Children', 'Lactating Mothers']",Search
Integrated Child Development Services Scheme,,"['Social welfare & Empowerment', 'Health & Wellness']","In Nagaland, the ICDS programme was launched in the year 1975 in the Jalukie block of Peren district with 50 Anganwadi centres. The programme has since grown and at present, there are 60 (sixty) ICDS projects in 11 (Eleven) districts of the State. ",,,icdss,"['Integrated Child Development Services', 'Nagaland']",Search
General Surgery Scheme (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""General Surgery Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial assistance for general surgery of the beneficiary and his family members.
",,,gsspbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'General Surgery', 'Health', 'Operation']",Search
Girl Students Health & Hygiene Scheme,,"['Health & Wellness', 'Women and Child']","The scheme “Girl Students Health & Hygiene Scheme” was announced by the Department of School Education, Govt. of Arunachal Pradesh in 2013 for the girl students studying in classes 6-12. The scheme's focus was to retain, maintain hygiene, and continue education throughout the year.",,,gshhs,"['Girl', 'Health', 'Hygiene', 'Sanitary Napkin', 'Student']",Search
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",,"['Social welfare & Empowerment', 'Education & Learning', 'Health & Wellness', 'Business & Entrepreneurship', 'Skills & Employment', 'Women and Child']",The scheme provides technical/vocational training for sex workers and sexually abused women to enable them to earn for their livelihood through such technical/vocational training and skill. The department will take the assistance of members of reputed NGOs/Trust/Society/professionals/expert bodies.,,,gtvtswsawwws,"['Shelter', 'Education', 'Sex Worker', 'Reintegration', 'Protection', 'Skill', 'Vocational Education']",Search
Goa Mediclaim Scheme,,['Health & Wellness'],"“Goa Mediclaim Scheme” provides financial assistance to avail super-speciality treatments that are not available in the Government Hospitals of Goa, such as dialysis, plastic surgery, ICU care, angiography and angioplasty, open-heart surgery, kidney transplantation, neurosurgery, etc.",,,gms,"['Medicine', 'Hospital', 'Health', 'Patient', 'Mediclaim']",Search
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,,"['Women and Child', 'Health & Wellness']","The scheme “Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to provide assistance for the well-being of Pregnant and Lactating mothers and their children.",,,gfapscplw,"['Pregnant', 'Woman', 'Child', 'Infant', 'Scheduled Caste', 'Financial Asisstance', 'Hospital']",Search
Free Blood to Patients - Uttarakhand,,['Health & Wellness'],"The scheme aims to ensure the availability of blood free of cost to all patients admitted in government hospitals across the state. Under this scheme, blood is provided free of cost by government blood banks to all in-patients who require transfusion during treatment.",,,fbpuk,"['Health', 'Free Blood', 'Patients']",Search
Free Distribution of Rice to Differently Abled Persons,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme “Free Distribution of Rice to Differently Abled Persons” by the Department of Social Welfare, Government of Puducherry was introduced to distribute 15 Kg of rice per month or equivalent Direct Benefit Transfer (DBT) to the differently abled persons.",,,fdrdap,"['Food', 'Meal', 'Rice', 'PwD', 'Disability']",Search
Free Medical Assistance (Gujarat),,['Health & Wellness'],"The scheme aims to provide financial assistance for expensive medical treatments to Scheduled Tribe individuals. Through this scheme, monetary aid is provided to Scheduled Tribe individuals suffering from various diseases and for serious maternity cases and anaemia in women.",,,fmaguj,"['Expensive Medical Treatment', 'Tuberculosis', 'Cancer', 'Leprosy', 'HIV', 'Sickle Cell Anaemia', 'Thalassemia']",Search
Free Medical Card for Media Persons,,['Health & Wellness'],The scheme provides free medical facilities to press correspondents and members of their families in Government hospitals /institutions under the control of the Administration. This will include free treatment in Government hospitals /institutions with entitlement to A-Class Special Wards..,,,fmcmp,"['Medical', 'Hospital', 'Press', 'Media']",Search
Fund of Funds for Startups,Ministry Of Commerce And Industry,"['Business & Entrepreneurship', 'Banking,Financial Services and Insurance', 'Science, IT & Communications', 'Agriculture,Rural & Environment', 'Health & Wellness', 'Education & Learning']","Launched in January 2016 under Startup India, the Fund of Funds for Startups is managed by SIDBI. It supports DPIIT-recognized startups indirectly by investing in SEBI-registered AIFs, which must invest at least twice the FFS contribution.",,,ffs,"['DPIIT', 'Startup India', 'Startups', 'AIF', 'Equity']",Search
Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,,['Health & Wellness'],The objective of the scheme is to conduct health check-ups for male Shramyogis above 45 years of age and female Shram Yogis above 35 years of age who are working in the organized sector in the state of Gujarat.,,,sfmcas-glwb,"['Shramyogi', 'Medical', 'Checkup', 'Organized Worker', 'Labour']",Search
Funeral Assistance Scheme (Madhya Pradesh),,"['Health & Wellness', 'Social welfare & Empowerment']","Launched on 13th August 2013, the ""Funeral Assistance Scheme"" by the Department of Social Justice and Empowerment, Govt. Madhya Pradesh provides ₹3,000/- for the last rites of destitute or unclaimed bodies.  The scheme also supports families registered under labour schemes.",,,fasmp,"['Funeral', 'Poor', 'Death', 'Financial Assistance']",Search
Funeral Support Scheme (HPBOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Funeral Support Scheme"" under the Labour and Employment Department, Himachal Pradesh, provides ₹20,000 to the nominees or dependents of registered beneficiaries to support funeral expenses.",,,fsphpbocwwb,"['Construction Workers', 'Building Worker', 'Funeral', 'Death', 'Financial Assistance']",Search
Gambhir Bimari Sahayata Yojana,,['Health & Wellness'],"The ""Gambhir Bimari Sahayata Yojana"" is a scheme by the government of Uttar Pradesh, India, to provide financial assistance to registered construction workers for the  treatment from the serious Illness",,,gbsy,"['Health', 'Financial Assistance', 'Construction Workers', 'Serious Illness']",Search
Grant-in-aid (TB),,['Health & Wellness'],"State Government is granting financial assistance in the form of Grant-in-Aid to a person having no employment under the Government, Public Sector undertaking, or under any local bodies may qualify to receive the grand suffering from fell disease.",,,giatb,"['SC ST', 'TB', 'Grant', 'Financial Assistance', 'DBT']",Search
Grants In Aid To SC/ST Patients Suffering From Cancer And Other Malignant Diseases,,['Health & Wellness'],"The objective of the scheme is to provide financial assistance in the form of one-time grants to patients undergoing medical treatment in connection with T.B., Cancer and other malignant diseases. This scheme provides one-time financial assistance to patients belonging to the Tea Tribes community.  ",,,gascstpsfcad,"['Cancer Patient', 'SC/ST', 'Scheduled Caste', 'Scheduled Tribe', 'Grant']",Search
Grants To Patients Suffering From Tuberculosis/Cancer And Other Major Diseases,,['Health & Wellness'],"The scheme aims to provide financial assistance for medical treatment to patients suffering from Tuberculosis, Cancer, and other major diseases. It provides a one-time financial grant to patients of the Tea Tribes and Adivasi community.",,,gpstbcomd,"['Health', 'Financial Assistance', 'Disease', 'Education', 'Student', 'Cancer', 'Tuberculosis', 'Patient']",Search
Health Check-up (A.B.O.C.W.W.B),,['Health & Wellness'],"Registered construction workers having continuous membership of the Board can avail an amount of ₹5,000/- once in a year for his/ her annual health checkup in any Hospital.",,,hc-uabocwwb,"['Health', 'Check-Up', 'Building Worker', 'Construction Worker', 'Labour', 'Financial Assistance']",Search
Health Benefits for Pregnant Mothers and Newborns through Supraja-AYUSH,,"['Health & Wellness', 'Women and Child']",The scheme aims to promote the health and well-being of pregnant women and newborns by providing Ayurvedic-based healthcare services and treatment.,,,shbpmna,"['Newborn Child', 'Pregnant Mother', 'AYUSH', 'Health Benefits', 'Supraja']",Search
Journalist's Medical Welfare Scheme - Assam,,"['Health & Wellness', 'Social welfare & Empowerment']","The Journalist's Medical Welfare Scheme was first implemented in 2012 by the Government of Assam. Under this scheme, one-time financial assistance is provided to the accredited and recognized journalists of Assam for their medical treatment.",,,jmws-assam,"['Journalist', 'Medical Treatment', 'Financial Assistance', 'Dependent Family']",Search
KCR Nutrition Kit,,"['Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']","KCR Nutrition Kits Scheme is a welfare initiative launched by the Government of Telangana, India, aimed at providing nutritious food to pregnant. The primary objective of the scheme is to improve the nutritional status of pregnant women. ",,,kcr-nutrition-kit,"['Pregnant Women Care Kit', 'Providing Nutritious Food To Pregnant Women And Children', 'Anganwadi Centers', 'Improve The Nutritional Status Of Pregnant']",Search
Kalakar Kritadnyata Nidhi: Medical Treatment,,"['Sports & Culture', 'Health & Wellness', 'Social welfare & Empowerment']","The scheme aims to provide financial assistance to aged and needy Goan artists and their dependent family members for medical treatment expenses. It covers major or minor surgical treatment costs in local or outstation hospitals, including travelling and accommodation expenses.",,,kkn-mt,"['Artist', 'Medical', 'Healthcare', 'Surgery', 'Subsidy', 'Hospital']",Search
Financial Assistance for Medical (JKBOCWWB),,['Health & Wellness'],"The ""Financial Assistance for Medical"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial support for medical expenses, including injury treatment, temporary and permanent disability, and the treatment of chronic diseases.",,,fafmjkbocwwb,"['Worker', 'Construction', 'Labour', 'Medical', 'Financial Assistance']",Search
Financial Assistance for Miscarriage for the Construction Workers,,"['Health & Wellness', 'Women and Child']","""Financial Assistance for Miscarriage for the Construction Workers"" by the Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi, is a welfare scheme that provides an amount of ₹3,000/- as financial assistance in case of miscarriage.",,,famcw,"['Labour', 'Miscarriage', 'Medical Assistance', 'Construction Workers', 'Financial Assistance', 'Women']",Search
Financial Assistance for Medical Treatment of Journalists,,"['Health & Wellness', 'Social welfare & Empowerment']","The Tamil Development, Religious Endowments, and Information Department scheme was launched by the ""Financial Assistance for Medical Treatment of Journalists"". The scheme aims to provide financial assistance to four journalists for medical treatment from the Chief Minister’s Public Relief Fund.",,,famtj,"['Medical', 'Financial Assistance', 'Daughter', 'Disease']",Search
Financial Assistance for Treatment of Chronic Diseases (HBOCWWB),,['Health & Wellness'],"Under this scheme, financial assistance of ₹1,00,000/- is provided to registered workers for indoor treatment of chronic diseases like Cancer, TB, AIDS, etc. as per government rules.",,,fatcdhbocwwb,"['Building Worker', 'Construction Worker', 'Labour', 'Treatment', 'Chronic Diseases', 'Financial Assistance', 'Cancer', 'TB', 'AIDS']",Search
"Financial Assistance for the Treatment of Blind, Disabled, Deaf, Dumb, or Mentally Challenged Ex-Servicemen and their Dependents (Wife and Children)",,['Health & Wellness'],"The scheme aims to provide monthly financial assistance for the treatment of ex-servicemen and their dependents (wife & children) who have a disability of 40% or more and are suffering from serious illnesses such as cancer, leprosy, tuberculosis, kidney and cardiac ailments, paralysis, etc.",,,faafbdmmresf,"['Financial Assistance', 'Medical Treatment', 'Person With Disability', 'Ex-Servicemen', 'Illness', 'PwD']",Search
Financial Assistance to Old Age Pensioner Suffering From TB/ Cancer,,"['Health & Wellness', 'Social welfare & Empowerment']","“Financial Assistance to Old Age Pensioner Suffering From TB/ Cancer” by the Dept of Women & Child Development, Govt of Puducherry, was introduced to extend a helping hand by way of financial assistance to Old Age/Destitute Pensioners who are suffering from TB/Cancer to meet the medical expenses.",,,faoapstbc,"['Cancer', 'Pension', 'TB', 'Senior Citizen', 'Financial Asisstance']",Search
Financial Assistance to Poor Scheduled Caste People Suffering From Prolonged Diseases,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme “Financial Assistance to Poor Scheduled Caste People Suffering From Prolonged Diseases” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The objective of the scheme is to assist poor patients from Scheduled Castes suffering from prolonged illness.",,,fapscpspi,"['Disease', 'Illness', 'Medical', 'Hospital', 'Doctor', 'Financial Asisstance', 'Scheduled Caste']",Search
Financial Grants In Aid To SC/ST Patients Suffering From Cancer And Other Malignant Diseases,,"['Health & Wellness', 'Social welfare & Empowerment']",The scheme “Financial Grants in Aid to SC/ST patients suffering from cancer and other malignant diseases” was launched by the Government of Assam in 2017 to provide financial assistance in the form of grants in Aid to SC/ST patients who are suffering from cancer and other malignant diseases.,,,grants-in-aid-to-scst-patients,"['Scheduled Caste', 'Scheduled Tribe', 'Medical Treatment', 'Patients', 'Financial Assistance']",Search
Financial Incentives To Mothers Who Deliver A Girl Child (Mamta),,"['Health & Wellness', 'Women and Child']",The objective of the Mamta Scheme is aimed at improving the Female Child Sex Ratio in the State. The scheme is open to all mothers who deliver a live Girl Child (max. 02 deliveries) in a registered medical institution. The scheme shall be implemented through the ICDS.,,,fimdgc,"['Mother', 'Pregnant', 'Birth', 'Girl Child', 'Medical Institution', 'ICDS']",Search
Khushiyon Ki Sawari Sewa - Uttarakhand,,"['Health & Wellness', 'Women and Child']","The scheme aims to provide safe, timely, and free transportation for pregnant women and newborn babies (0 - 1 year) to access healthcare services, including travel from home to the hospital and from the hospital back home.",,,kkssuk,"['Pregnant Woman', '102', 'Newborn', 'Ultrasound Service', 'Pregnancy Care']",Search
Khushi Scheme,,"['Health & Wellness', 'Women and Child']","The Department of Health and Family Welfare, Government of Odisha had introduced a scheme named ""Khushi"" which aims to provide Free sanitary napkins to all girls in Government and aided schools from class 6th to 12th.",,,ks,"['Sanitary Pads', 'Health', 'Hygiene']",Search
Kishor Swasthya Paramarsh Clinic - Uttarakhand,,['Health & Wellness'],"This initiative aims to promote the physical, mental, and emotional well-being of adolescents aged 10 to 19 years by providing free health counselling and guidance.",,,kspc,"['Adolescent', 'Health Counseling', 'Free Consultation', 'Clinic']",Search
Kishori Balika Yojana- Uttarakhand,,"['Women and Child', 'Health & Wellness']","The scheme aims to create awareness among adolescent girls aged 14 to 18 years about nutrition, health, and life cycle issues, and also provides supplementary nutrition for 300 days in a year.",,,kbyuk,"['Adolescent Girls', 'Awareness On Nutrition', 'Awareness On Health', 'Teenage Girl']",Search
Kishori Balika Yojana (Madhya Pradesh),,"['Women and Child', 'Skills & Employment', 'Health & Wellness']","The scheme ""Kishori Balika Yojana"" by the Department of Women and Child Development, Government of Madhya Pradesh aims to provide vocational, health, and hygiene training to adolescent girls. Through this scheme, training and material assistance are provided to the girls.",,,sfagmp,"['Girl', 'Anganwadi', 'Development', 'Training', 'Workshop', 'Skill', 'Health', 'Vocational', 'Education']",Search
Kumar Rajratna Bhimrao Ambedkar Medical Assistance Scheme,,['Health & Wellness'],"The scheme aims to provide financial support to individuals belonging to SC category suffering from incurable & serious diseases. Under this scheme, Medical Assistance is provided to Scheduled Caste patients diagnosed with life-threatening conditions such as TB, Leukemia, & other critical illnesses.",,,krbamas,"['Medical Assistance', 'Disease', 'Scheduled Caste', 'Medical Aid', 'Treatment']",Search
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Serious Illness / Accident / Calamity Assistance,,"['Sports & Culture', 'Social welfare & Empowerment', 'Health & Wellness']","The scheme aims to provide one-time financial assistance for serious illness, accident, or calamity-related medical treatment to artists and litterateurs.",,,mpkskkn-diancal,"['Financial Assistance', 'Calamity', 'Illness', 'Accident', 'Artists', 'Litterateurs']",Search
